,method,dataset,bias_n,seed,bias_delta,params,spearman,pairwise_calls,pairwise_calls_internal,listwise_calls,inferred_pairs,pairwise_api_calls,effective_calls_api
41,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 10, 'overlap': 3, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1, 'listwise_call_budget': 120}",0.9371177473229982,7398,5400,120,5400,1998,2118
42,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 24, 'r': 3, 'min_distinct_opponents': 3, 'max_epochs': 18, 'opponent_selection': 'similar', 'randomness_factor': 0.05, 'seed': 11}",0.7556349950294512,1503,0,0,0,1503,1503
43,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 24, 'r': 3, 'min_distinct_opponents': 3, 'max_epochs': 18, 'opponent_selection': 'similar', 'randomness_factor': 0.05, 'seed': 11}",0.7588781391547735,1503,0,0,0,1503,1503
44,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 4, 'min_distinct_opponents': 4, 'max_epochs': 24, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.8189216985320387,2020,0,0,0,2020,2020
45,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 4, 'min_distinct_opponents': 4, 'max_epochs': 24, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.8353377722471418,2020,0,0,0,2020,2020
46,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 24, 'r': 3, 'min_distinct_opponents': 3, 'max_epochs': 18, 'opponent_selection': 'similar', 'randomness_factor': 0.3, 'seed': 11}",0.7572238255098103,1500,0,0,0,1500,1500
47,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 24, 'r': 3, 'min_distinct_opponents': 3, 'max_epochs': 18, 'opponent_selection': 'similar', 'randomness_factor': 0.3, 'seed': 11}",0.7868357251962323,1500,0,0,0,1500,1500
48,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 2, 'min_distinct_opponents': 2, 'max_epochs': 12, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.6737789795962659,1000,0,0,0,1000,1000
49,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 2, 'min_distinct_opponents': 2, 'max_epochs': 12, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.6585890765777772,1000,0,0,0,1000,1000
50,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 5, 'min_distinct_opponents': 4, 'max_epochs': 24, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.837452475543717,2500,0,0,0,2500,2500
51,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 5, 'min_distinct_opponents': 4, 'max_epochs': 24, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.866164599609033,2500,0,0,0,2500,2500
52,streak,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 5, 'min_distinct_opponents': 4, 'max_epochs': 30, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.837452475543717,2500,0,0,0,2500,2500
53,streak_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'r': 5, 'min_distinct_opponents': 4, 'max_epochs': 30, 'opponent_selection': 'similar', 'randomness_factor': 0.1, 'seed': 11}",0.866164599609033,2500,0,0,0,2500,2500
54,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 4, 'prune_percent': 0.1}",0.8523337425071851,4001,0,0,0,4001,4001
55,pruned_elo_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 4, 'prune_percent': 0.1}",0.9354343883495084,4001,0,0,0,4001,4001
56,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 4, 'prune_percent': 0.2}",0.8475596181260435,2763,0,0,0,2763,2763
57,pruned_elo_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 4, 'prune_percent': 0.2}",0.8965530326354741,2763,0,0,0,2763,2763
58,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 8, 'prune_percent': 0.1}",0.9223363663363664,5960,0,0,0,5960,5960
59,pruned_elo_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 8, 'prune_percent': 0.1}",0.9603154969805922,5960,0,0,0,5960,5960
60,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 8, 'prune_percent': 0.2}",0.9105074625074625,4759,0,0,0,4759,4759
61,pruned_elo_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 8, 'prune_percent': 0.2}",0.9500774259565176,4759,0,0,0,4759,4759
62,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 12, 'prune_percent': 0.1}",0.9387573147573148,7871,0,0,0,7871,7871
63,pruned_elo_bt,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 12, 'prune_percent': 0.1}",0.9724888084888087,7871,0,0,0,7871,7871
64,pruned_elo,linear,50,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 12, 'prune_percent': 0.2}",0.9254770694770694,6755,0,0,0,6755,6755
